medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
gliconil,ciclosporina,"Portanto, recomenda-se o monitoramento e um ajuste na dose da ciclosporina quando estes medicamentos forem coadministrados.",1,fonte2,automatica,0.65
glimepirida accord farma,probenecida,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fármacos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidores da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazona; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte2,automatica,0.65
glimepirida accord farma,fluoxetina,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fármacos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidores da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazona; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte2,automatica,0.65
glimepirida accord farma,fluconazol,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fármacos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidores da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazona; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte2,automatica,0.65
glimepirida accord farma,insulina,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fármacos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidores da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazona; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte2,automatica,0.65
glimepirida accord farma,fibratos,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fármacos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidores da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazona; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte2,automatica,0.65
gliocort,corticosteroides,"Ácido acetilsalicílico e salicilatos: corticosteroides podem aumentar a depuração do ácido acetilsalicílico, portanto o ácido acetilsalicílico deve ser usado com cautela em associação com corticosteroide nos casos de hipoprotrombinemia.",1,fonte2,automatica,0.65
gliocort,insulina,"Antidiabéticos orais e insulina: pode aumentar a concentração de sanguínea, portanto, se necessário, deve-se reajustar a posologia do hipoglicemiante.",1,fonte2,automatica,0.65
glucovance,glibenclamida,"Betabloqueadores, clonidina, reserpina, guanetidina ou medicamentos simpaticomiméticos, que podem ocultar os sintomas de aviso de uma hipoglicemia, sendo que a maioria dos betabloqueadores não cardiosseletivos aumentam a incidência e a gravidade da hipoglicemia (recomenda-se o autoacompanhamento da glicose sanguínea, especialmente no início do tratamento); , que aumenta o risco de problemas no fígado, sendo que o efeito hipoglicêmico da glibenclamida também pode ser reduzido (recomenda-se evitar essa associação);",1,fonte2,automatica,0.65
glucovance,insulina,"Agonistas beta-2, que aumentam os níveis de açúcar no sangue (recomenda-se o autoacompanhamento da glicose sanguínea e considerar-se o tratamento com insulina);",1,fonte2,automatica,0.65
glucovance,corticosteroides,"Corticosteroides e tetracosactida, que aumentam os níveis de açúcar no sangue (recomenda-se o autoacompanhamento da glicose sanguínea e considerar-se o ajuste da dose do Glucovance durante e após o tratamento);",1,fonte2,automatica,0.65
glucovance,glibenclamida,"Fenilbutazona, que aumenta o efeito hipoglicêmico da glibenclamida (se esta associação não puder ser evitada, recomenda-se o autoacompanhamento da glicose sanguínea e considerar-se o ajuste da dose do Glucovance , que aumenta o risco de hipoglicemia (se esta associação não puder ser evitada, recomenda-se o autoacompanhamento da glicose sanguínea e considerar-se o ajuste da dose do Glucovance durante e após o tratamento);",1,fonte2,automatica,0.65
glucovance,glibenclamida,"Desmopressina, que pode ter seu efeito antidiurético reduzido pelo Glucovance Ciprofloxacino, um antibiótico que pode aumentar a ação hipoglicemiante da glibenclamida;",1,fonte2,automatica,0.65
glucovance,metformina,A utilização desses medicamentos em combinação com metformina deve ser feita com cautela e acompanhada de monitoramento rigoroso da função renal.,1,fonte2,automatica,0.65
haloperidol união química,haloperidol,Monitoramento especial pode ser necessário se você estiver usando lítio e haloperidol ao mesmo tempo.,1,fonte2,automatica,0.65
hemifumarato de bisoprolol ems,aines,"Medicamentos anti-inflamatórios não esteroidais (AINEs), utilizados para tratar , dor ou inflamação (tais como , medicamento usado para tratar reações alérgicas graves com risco de vida e paradas cardíacas;",2,fonte2,automatica,0.8
heptron,aines,"Recomenda-se a interrupção do uso de medicamentos que afetam a antes do início do tratamento com Enoxaparina Sódica, a menos que seu uso seja estritamente indicado, tais como: Salicilatos sistêmicos, ácido acetilsalicílico e outros AINES, incluindo o cetorolaco;",1,fonte2,automatica,0.65
hidantal comprimido,fenobarbital,O fenobarbital pode reduzir a absorção oral da fenitoína.,1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,metformina,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,hidroclorotiazida,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,hidroclorotiazida,"Medicamentos afetados por distúrbios do potássio sérico Recomenda-se a monitorização periódica do potássio sérico e um ECG quando a hidroclorotiazida é administrada concomitantemente com medicamentos afetados pelo nível sérico de potássio (por exemplo, glicosídeos digitálicos e antiarrítmicos) e com os seguintes medicamentos indutores de torsades de pointes (incluindo alguns antiarrítmicos): Antiarrítmicos classe Ia (por exemplo, quinidina, hidroquinidina, disopiramida).",1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,alopurinol,A coadministração de tiazidas pode aumentar a incidência de reações de hipersensibilidade ao alopurinol.,1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,hidroclorotiazida,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,aines,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,ciclosporina,O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
hidroclorotiazida germed pharma,hidroclorotiazida,"Betabloqueadores, diazóxido O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
hidroclorotiazida legrand,metformina,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroclorotiazida legrand,hidroclorotiazida,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroclorotiazida legrand,hidroclorotiazida,"Medicamentos afetados por distúrbios do potássio sérico Recomenda-se a monitorização periódica do potássio sérico e um ECG quando a hidroclorotiazida é administrada concomitantemente com medicamentos afetados pelo nível sérico de potássio (por exemplo, glicosídeos digitálicos e antiarrítmicos) e com os seguintes medicamentos indutores de torsades de pointes (incluindo alguns antiarrítmicos): Antiarrítmicos classe Ia (por exemplo, quinidina, hidroquinidina, disopiramida).",1,fonte2,automatica,0.65
hidroclorotiazida legrand,alopurinol,A coadministração de tiazidas pode aumentar a incidência de reações de hipersensibilidade ao alopurinol.,1,fonte2,automatica,0.65
hidroclorotiazida legrand,hidroclorotiazida,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroclorotiazida legrand,aines,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroclorotiazida legrand,ciclosporina,O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
hidroclorotiazida legrand,hidroclorotiazida,"Betabloqueadores, diazóxido O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
hidroflux,metformina,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroflux,hidroclorotiazida,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidroflux,hidroclorotiazida,"Medicamentos afetados por distúrbios do potássio sérico Recomenda-se a monitorização periódica do potássio sérico e um ECG quando a hidroclorotiazida é administrada concomitantemente com medicamentos afetados pelo nível sérico de potássio (por exemplo, glicosídeos digitálicos e antiarrítmicos) e com os seguintes medicamentos indutores de torsades de pointes (incluindo alguns antiarrítmicos): Antiarrítmicos classe Ia (por exemplo, quinidina, hidroquinidina, disopiramida).",1,fonte2,automatica,0.65
hidroflux,alopurinol,A coadministração de tiazidas pode aumentar a incidência de reações de hipersensibilidade ao alopurinol.,1,fonte2,automatica,0.65
hidroflux,hidroclorotiazida,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroflux,aines,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidroflux,ciclosporina,O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
hidroflux,hidroclorotiazida,"Betabloqueadores, diazóxido O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
hidromed,metformina,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidromed,hidroclorotiazida,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
hidromed,hidroclorotiazida,"Medicamentos afetados por distúrbios do potássio sérico Recomenda-se a monitorização periódica do potássio sérico e um ECG quando a hidroclorotiazida é administrada concomitantemente com medicamentos afetados pelo nível sérico de potássio (por exemplo, glicosídeos digitálicos e antiarrítmicos) e com os seguintes medicamentos indutores de torsades de pointes (incluindo alguns antiarrítmicos): Antiarrítmicos classe Ia (por exemplo, quinidina, hidroquinidina, disopiramida);",1,fonte2,automatica,0.65
hidromed,alopurinol,A coadministração de tiazidas pode aumentar a incidência de reações de hipersensibilidade ao alopurinol.,1,fonte2,automatica,0.65
hidromed,hidroclorotiazida,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidromed,aines,"Salicilatos, AINEs Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
hidromed,ciclosporina,O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
hidromed,hidroclorotiazida,"Betabloqueadores, diazóxido O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
hidrotheo,digoxina,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
hidrotheo,isoniazida,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
hidrotheo,levotiroxina,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
hidrotheo,ranitidina,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
ibuflex cápsula,probenecida,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuflex cápsula,ibuprofeno,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuflex cápsula,fluoxetina,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuflex cápsula,sertralina,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuflex cápsula,valproico,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuflex cápsula,ibuprofeno,Recomenda-se precaução quando do uso concomitante do ibuprofeno com lítio devido ao aumento da concentração plasmática de lítio.,1,fonte2,automatica,0.65
ibuliv cápsula,probenecida,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuliv cápsula,ibuprofeno,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuliv cápsula,fluoxetina,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuliv cápsula,sertralina,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuliv cápsula,valproico,"Ácido valproico (auranofina, aurotiomalato de sódio); , lítio, probenecida e Recomenda-se precaução quando do uso concomitante do ibuprofeno com medicamentos para depressão (fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuliv cápsula,ibuprofeno,Recomenda-se precaução quando do uso concomitante do ibuprofeno com lítio devido ao aumento da concentração plasmática de lítio.,1,fonte2,automatica,0.65
ibupril comprimido,varfarina,"O uso concomitante de dois AINEs sistêmicos pode aumentar a frequência de úlceras gastrintestinais e sangramento. pode interagir com: (por exemplo, varfarina), aumentando o risco de sangramento;",1,fonte2,automatica,0.65
ibupril comprimido,aines,"O uso concomitante de dois AINEs sistêmicos pode aumentar a frequência de úlceras gastrintestinais e sangramento. pode interagir com: (por exemplo, varfarina), aumentando o risco de sangramento;",1,fonte2,automatica,0.65
ibuprofan,ibuprofeno,"O Ibuprofeno pode aumentar o efeito dos anticoagulantes orais (heparina), a concentração sanguínea de lítio e a atividade antiagregante plaquetária, desaconselhando-se, portanto, a administração simultânea de Ibuprofeno e tais substâncias.",1,fonte2,automatica,0.65
ibuprofan,anticoagulantes,"O Ibuprofeno pode aumentar o efeito dos anticoagulantes orais (heparina), a concentração sanguínea de lítio e a atividade antiagregante plaquetária, desaconselhando-se, portanto, a administração simultânea de Ibuprofeno e tais substâncias.",1,fonte2,automatica,0.65
ibuprofan,ibuprofeno,Deve-se ter cautela quando se administrar Ibuprofeno a pacientes em terapia com anticoagulantes.,1,fonte2,automatica,0.65
ibuprofan,anticoagulantes,Deve-se ter cautela quando se administrar Ibuprofeno a pacientes em terapia com anticoagulantes.,1,fonte2,automatica,0.65
ibuprofan,ibuprofeno,"Estudos clínicos, bem como observações randômicas, mostraram que o Ibuprofeno pode reduzir o efeito natriurético da furosemida, tiazidas ou outros diuréticos em alguns pacientes.",1,fonte2,automatica,0.65
ibuprofan,furosemida,"Estudos clínicos, bem como observações randômicas, mostraram que o Ibuprofeno pode reduzir o efeito natriurético da furosemida, tiazidas ou outros diuréticos em alguns pacientes.",1,fonte2,automatica,0.65
ibuprofan,ibuprofeno,"Deve-se ter cautela quando metotrexato é administrado concomitantemente com AINEs, incluindo Ibuprofeno, porque a administração de AINEs pode resultar em aumento dos níveis plasmáticos de metotrexato, especialmente em pacientes recebendo altas doses de metotrexato.",1,fonte2,automatica,0.65
ibuprofan,metotrexato,"Deve-se ter cautela quando metotrexato é administrado concomitantemente com AINEs, incluindo Ibuprofeno, porque a administração de AINEs pode resultar em aumento dos níveis plasmáticos de metotrexato, especialmente em pacientes recebendo altas doses de metotrexato.",1,fonte2,automatica,0.65
ibuprofan,aines,"Deve-se ter cautela quando metotrexato é administrado concomitantemente com AINEs, incluindo Ibuprofeno, porque a administração de AINEs pode resultar em aumento dos níveis plasmáticos de metotrexato, especialmente em pacientes recebendo altas doses de metotrexato.",1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,ibuprofeno,"Deve-se ter cautela ao administrar ibuprofeno em pacientes tratados com qualquer medicamento abaixo, já que interações medicamentosas foram reportadas por alguns pacientes: Anti-hipertensivos, betabloqueadores e AINEs podem reduzir o efeito de anti-hipertensivos, como inibidores da ECA, betabloqueadores e diuréticos.",1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,aines,"Deve-se ter cautela ao administrar ibuprofeno em pacientes tratados com qualquer medicamento abaixo, já que interações medicamentosas foram reportadas por alguns pacientes: Anti-hipertensivos, betabloqueadores e AINEs podem reduzir o efeito de anti-hipertensivos, como inibidores da ECA, betabloqueadores e diuréticos.",1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,ibuprofeno,A administração concomitante de ibuprofeno e colestiramina pode reduzir a absorção de ibuprofeno no trato gastrintestinal.,1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,aines,Extratos herbáceos Ginkgo biloba pode potencializar o risco de hemorragia quando administrado concomitantemente com AINEs.,1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,aines,Os AINEs podem potencializar os efeitos das sulfonilureias.,1,fonte2,automatica,0.65
ibuprofeno comprimido cimed,ibuprofeno,Inibidores da enzima CYP2C9 A administração de ibuprofeno com inibidores da enzima CYP2C9 (ex.: ) pode aumentar a exposição de ibuprofeno.,1,fonte2,automatica,0.65
ibuprofeno comprimido ems,varfarina,"Interações medicamento – medicamento O uso concomitante de qualquer AINE (anti-inflamatório não-esteroidal) com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: Ácido acetilsalicílico, , outros anti-inflamatórios não-esteroidais, corticosteróides como, glicocorticóides (cortisol, hidrocortizona, beclometasona, , metilpredinsolona, ), corticotrofina, agentes anticoagulantes ou trombolíticos (varfarina e heparina), inibidores de agregação plaquetária (clopidogrel, ticlopidina), hipoglicemiantes orais (metformina, , glicazida) ou insulina, anti-hipertensivos ( , enalapril, , propanolol) e , tiazídicos), ácido valproico (auranofina, aurotiomalato de sódio), plicamicina, compostos de ouro, , lítio, probenecida, inibidores da ECA (enzima conversora de angiotensina, como captopril, enalapril) e Recomenda-se precaução quando do uso concomitante do ibuprofeno com inibidores seletivos de recaptação da serotonina (ISRS, como fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuprofeno comprimido ems,probenecida,"Interações medicamento – medicamento O uso concomitante de qualquer AINE (anti-inflamatório não-esteroidal) com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: Ácido acetilsalicílico, , outros anti-inflamatórios não-esteroidais, corticosteróides como, glicocorticóides (cortisol, hidrocortizona, beclometasona, , metilpredinsolona, ), corticotrofina, agentes anticoagulantes ou trombolíticos (varfarina e heparina), inibidores de agregação plaquetária (clopidogrel, ticlopidina), hipoglicemiantes orais (metformina, , glicazida) ou insulina, anti-hipertensivos ( , enalapril, , propanolol) e , tiazídicos), ácido valproico (auranofina, aurotiomalato de sódio), plicamicina, compostos de ouro, , lítio, probenecida, inibidores da ECA (enzima conversora de angiotensina, como captopril, enalapril) e Recomenda-se precaução quando do uso concomitante do ibuprofeno com inibidores seletivos de recaptação da serotonina (ISRS, como fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuprofeno comprimido ems,ibuprofeno,"Interações medicamento – medicamento O uso concomitante de qualquer AINE (anti-inflamatório não-esteroidal) com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: Ácido acetilsalicílico, , outros anti-inflamatórios não-esteroidais, corticosteróides como, glicocorticóides (cortisol, hidrocortizona, beclometasona, , metilpredinsolona, ), corticotrofina, agentes anticoagulantes ou trombolíticos (varfarina e heparina), inibidores de agregação plaquetária (clopidogrel, ticlopidina), hipoglicemiantes orais (metformina, , glicazida) ou insulina, anti-hipertensivos ( , enalapril, , propanolol) e , tiazídicos), ácido valproico (auranofina, aurotiomalato de sódio), plicamicina, compostos de ouro, , lítio, probenecida, inibidores da ECA (enzima conversora de angiotensina, como captopril, enalapril) e Recomenda-se precaução quando do uso concomitante do ibuprofeno com inibidores seletivos de recaptação da serotonina (ISRS, como fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
ibuprofeno comprimido ems,metformina,"Interações medicamento – medicamento O uso concomitante de qualquer AINE (anti-inflamatório não-esteroidal) com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: Ácido acetilsalicílico, , outros anti-inflamatórios não-esteroidais, corticosteróides como, glicocorticóides (cortisol, hidrocortizona, beclometasona, , metilpredinsolona, ), corticotrofina, agentes anticoagulantes ou trombolíticos (varfarina e heparina), inibidores de agregação plaquetária (clopidogrel, ticlopidina), hipoglicemiantes orais (metformina, , glicazida) ou insulina, anti-hipertensivos ( , enalapril, , propanolol) e , tiazídicos), ácido valproico (auranofina, aurotiomalato de sódio), plicamicina, compostos de ouro, , lítio, probenecida, inibidores da ECA (enzima conversora de angiotensina, como captopril, enalapril) e Recomenda-se precaução quando do uso concomitante do ibuprofeno com inibidores seletivos de recaptação da serotonina (ISRS, como fluoxetina, sertralina, paroxetina, citalopram), pelo risco aumentado de sangramento gastrintestinal.",1,fonte2,automatica,0.65
