medicamento,secao,texto,classe_sugerida,confianca_heuristica,medicamentos_detectados,score_prioridade,classe_manual
besilato de anlodipino,INTERAÇÕES MEDICAMENTOSAS,Estudos Especiais: Efeito do anlodipino sobre Outros A gentes atorvastatina: a coadministração de doses múltiplas de 10 mg de anlodipino e 80 mg de atorvastatina não resultou em mudança significante nos parâmetros farmacocinéticos no estado de equilíbrio ( steady -state) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alterou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino com varfarina não alterou o tempo de resposta de protrombina da varfarina. ciclosporina: nenhum estudo de interação medicamentosa foi conduzido com a ciclosporina e o anlodipino em voluntários saudáveis ou outras populações com exceção dos pacientes com transplante renal.,-1,-1.0,varfarina; ciclosporina; atorvastatina; digoxina; anlodipino,15.0,0
valerato de estradiol,INTERAÇÕES MEDICAMENTOSAS,"Em alguns casos estas alterações podem ser clinicamente relevantes. - Substâncias que diminuem a depuração de hormônios sexuais (inibidores enzimáticos): Inibidores potentes e moderados do CYP3A4, tais como antifúngicos azólicos (por exemplo, fluconazol, itra-conazol, cetoconazol, voriconazol), macrolídeos (por exemplo, claritromicina, eritromicina), verapamil, diltia- zem e suco de toranja ( grapefruit ) podem aumentar as concentrações plasmáticas do estrogênio.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; verapamil,15.0,1
desogestrel,INTERAÇÕES MEDICAMENTOSAS,"A administração concomitante de inibidores fortes (por exemplo, cetoconazol, itraconazol, claritromicina) ou moderados (por exemplo, fluconazol, diltiazem, eritromicina) da CYP3A4 podem aumentar as concentrações séricas dos progestagênios, incluindo o etonogestrel, o metabólito ativo do desogestrel.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
dienogeste,INTERAÇÕES MEDICAMENTOSAS,"Inibidores potentes e moderados do CYP3A4, tais com o antifúngicos azólicos (por exemplo, itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (por exemplo, c laritromicina, eritromicina), diltiazem e suco de t oranja (“grapefruit”) podem aumentar as concentrações plasmáticas desta p rogestina.",-1,-1.0,eritromicina; fluconazol; itraconazol; diltiazem; verapamil,15.0,1
dapagliflozina propanodiol,INTERAÇÕES MEDICAMENTOSAS,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona, sitagliptina, glimepirida, hidroclorotiazida, bumetanida, valsartana, sinvastatina, digoxina (um substrato da gp-P) ou varfarina (a varfarina é um substrato do CYP2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
dicloridrato de hidroxizina,INTERAÇÕES  MEDICAMENTOSAS,"Exemplos de medicamentos associad os ao prolongamento do intervalo QT e/ou Torsades de Pointes estão listados abaixo (mas não se limitam a apenas es tes): - Antiarrítmicos classe IA (quinidina, procainamida, disopiramida) ; - Antiarrítmicos classe III (amiodarona, sotalol, bretílio); - Antiarrítmicos classe IC (flecainida, propafenona); - Antipsicóticos (clorpromazina, haloperidol, pimozida, droperidol, ziprasidona, risperidona, olanzapina); - Antidepressivos (fluoxetina, c italopram, venlafaxina , antidepressivos tricíclicos e tetracíclicos por exemplo amitriptilina, imipramina, maprotilina) ; - Opioides (metadona); - Antibióticos macrolídeos e análogos (eritromicina, claritromicina, azitromicina, tacrolim o); - Quinolonas (moxifloxacino, ciprofloxacino, levofloxacino); - pentamidina; - Antimaláricos (quinin a, cloroquina); - Antifúngicos azólicos (c etoconazol, fluconazol, voriconazol); - domperidona; - Antagonistas dos receptores 5-HT 3 (ondansetron a); - trióxido de arsênio; - Inibidores da tirosin a quinase ( vandetanib e, sunitinib e, nilotinib e); - vorinostat e (inibidor da histona deacetilase); - Agonista do receptor adrenérgico beta -2 (salmeterol, formoterol).",-1,-1.0,eritromicina; claritromicina; fluoxetina; fluconazol; amiodarona,15.0,2
telmisartana,INTERAÇÕES MEDICAMENTOSAS,"A coadministração de telmisartana não resultou em interações clinicamente significativas com digoxina, varfarina, hidroclorotiazida, glibenclamida, ibuprofeno, paracetamol, sinvastatina e anlodipino.",-1,-1.0,varfarina; ibuprofeno; paracetamol; sinvastatina; digoxina,15.0,0
dapagliflozina,ADVERTÊNCIAS E PRECAUÇÕES,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona, sitagliptina, glimepirida, hidroclorotiazida, bumetan ida, valsartana, sinvastatina, digoxina (um substrato da gp-P) ou varfarina (a varfarina é um substrato do CYP2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
lamotrigina,INTERAÇÕES MEDICAMENTOSAS,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamotrigina Valproato carbamazepina fenitoína primidona fenobarbitona rifampicina lopinavir/ritonavir atazanavir/ritonavir* Associação de etinilestradiol/levonorgestrel* lítio bupropiona olanzapina oxcarbazepina felbamato gapabentina levetiracetam pregabalina topiramato zonisamida aripripazol lacosamida perampanel paracetamol *Para orientações de dosagem, ver Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais, adicionalmente para mulheres tomando contraceptivos orais ver também Advertências e Precauções – Contraceptivos hormonais.",-1,-1.0,paracetamol; carbamazepina; rifampicina; olanzapina; contraceptivos,15.0,1
dapagliflozina,INTERAÇÕES MEDICAMENTOSAS,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona, sitagliptina, glimepirida, hidroclorotiazida, bumetanida, valsartana, sinvastatina, digoxina (um substrato da gp-P) ou varfarina (a varfarina é um substrato do CYP2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
empagliflozina,ADVERTÊNC IAS E PRECAUÇÕES,"A empagliflozina não teve efeito clinicamente relevante sobre a farmacocinética da glimepirida, pioglitazona, sitagliptina, varfarina, digoxina, ramipril, sinvastatina, hidroclorotiazida, torasemida e contraceptivos orais, quando coadministradas em voluntários sadios.",-1,-1.0,varfarina; sinvastatina; digoxina; hidroclorotiazida; contraceptivos,15.0,0
claritromicina,INTERAÇÕES MEDICAMENTOSAS,"São exemplos, mas não se resume a: alprazolam, astemizol, carbamazepina, cilostazol, cisaprida, ciclosporina, disopiramida, alcaloides do ergot, lovastatina, metilprednisolona, midazolam, omeprazol, anticoagulantes orais (ex: varfarina, rivaroxabana, apixabana, edoxabana), antipsicóticos atípicos (ex: quetiapina), pimozida, quinidina, rifabutina, sildenafila, sinvastatina, tracolimus, terfenadina, triazolam e vimblastina.",-1,-1.0,varfarina; ciclosporina; omeprazol; sinvastatina; carbamazepina,15.0,
losartana potássica hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes compostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (veja hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",-1,-1.0,varfarina; eritromicina; losartana; digoxina; cetoconazol,15.0,0
cloridrato de benazepril,INTERAÇÕES MEDICAMENTOSAS,"Outros As propriedades farmacocinéticas do benazepril não são afetadas pelos seguintes fármacos: hidroclorotiazida, furosemida, clortalidona, digoxina, propranolol, atenolol, nifedipino, anlodipino, naproxeno, ácido acetilsalicílico ou cimetidina.",-1,-1.0,digoxina; hidroclorotiazida; furosemida; nifedipino; anlodipino,15.0,0
ezetimiba sinvastatina,CONTRAINDICAÇÕES,"CONTRAINDICAÇÕES • Hipersensibilidade aos princípios ativos ou a qualquer dos excipientes. • Hepatopatia ativa ou elevações persistentes e inexplicadas das transaminases séricas. • Quando houver necessidade de administrar ezetimiba + sinvastatina com fenofibrato, consulte a Circular aos Médicos (bula) de fenofibrato. • Administração concomitante de inibidores potentes do CYP3A4 (p. ex., itraconazol, cetoconazol, posaconazol, voriconazol, inibidores da protease do HIV, boceprevir, telaprevir, eritromicina, claritromicina, telitromicina, nefazodona e medicamentos contendo cobicistate) (veja os itens 5.",-1,-1.0,eritromicina; claritromicina; sinvastatina; cetoconazol; itraconazol,15.0,2
lamotrigina,INTERAÇÕES MEDICAMENTOSAS,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamotrigina valproato carbamazepina fenitoína primidona fenobarbitona rifampicina lopinavir/ritonavir atazanavir/ritonavir* Associação de etinilestradiol/levonorgestrel* lítio bupropiona olanzapina oxcarbazepina felbamato gapabentina levetiracetam pregabalina topiramato zonisamida aripip razol lacosamida perampanel paracetamol *Para orientações de dosagem, ver item Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais , adicionalmente para mulheres tomando contraceptivos orais ver também Advertências e Precauções – Efeitos de produtos contendo estrogênio, incluindo contraceptivos hormonais, na eficácia da lamotrigina e efeitos da lamot rigina na eficácia dos contraceptivos hormonais.",-1,-1.0,paracetamol; carbamazepina; rifampicina; olanzapina; contraceptivos,15.0,1
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
everolimo,ADVERTÊNCIAS E PRECAUÇÕES,"Interação com fortes inibidores, indutores da CYP3A4 Não é recomendada a coadministração com fortes inibidores da CYP3A4 (por exemplo, cetoconazol, itraconazol, voriconazol, claritromicina, telitromicina, ritonavir) e indutores (por exe mplo, rifampicina, rifabutina , erva de São João, carbamazepina, fenitoína ) a menos que os benefícios superem os possíveis riscos.",-1,-1.0,claritromicina; carbamazepina; cetoconazol; itraconazol; rifampicina,15.0,2
mesilato de imatinibe,ADVERTÊNCIAS E PRECAUÇÕES,"Tome cuidado ao utilizar mesilato de imatinibecom rifampicina ou outros indutores potentes de CYP3A4, cetoconazol ou outros inibidores potentes de CYP3A4, substratos de CYP3A4 com uma janela terapêutica estreita (por exemplo, ciclosporina ou pimozida) ou substratos de CYP2C9 com uma janela terapêutica estreita (por exemplo, varfarina e outros derivados cumarínicos) (vide “Interações medicamentosas ”). 18 MESILATO DE IMATINIBE_BULA PROFISSIONAL DE SAÚDE Hipotireoidismo Casos clínicos de hipotireoidismo foram relatados em pacientes submetidos à tireoidectomia e que estão recebendo reposição com levotiroxina durante tratamento com mesilato de imatinibe.",-1,-1.0,varfarina; ciclosporina; cetoconazol; rifampicina; levotiroxina,15.0,1
midazolam,INTERAÇÕES MEDICAMENTOSAS,"Exemplos de inibidores de CYP3A com base no mecanismo incluem: antibacterianos (por exemplo, claritromicina, eritromicina, isoniazida), agentes antirretrovirais (tais como inibidores de protease do HIV, como ritonavir, incluindo inibidores da protease re forçados pelo ritonavir, delavirdina), bloqueadores dos canais de cálcio (como verapamil, diltiazem), inibidores de tirosina quinase (como imatinibe, lapatinibe, idelalisibe) ou o modulador de receptor de estrógeno ralozifeno, e diversos constituintes de e spécies vegetais (por exemplo, a bergamotina).",-1,-1.0,eritromicina; claritromicina; isoniazida; diltiazem; verapamil,15.0,
omeprazol,INTERAÇÕES  MEDICAMENTOSAS,"Anticoagulantes, cumarina ou derivados da indandiona; diazepam, fenitoína e varfarina (medicamentos metabolizados por oxidação hepática) podem ter sua eliminação retardada pelo omeprazol; benzodiazepínicos, ciclosporinas ou dissulfiram; depressores da medula óssea (a administração concomitante pode au mentar os efeitos leucopênicos e/ou trombocitopênicos de ambas as medicações, se necessário o uso concomitante, devem ser considera dos os efeitos tóxicos); estudos de interação de omeprazol com outros fármacos indicaram que não há influência sobre: cafeína, fenacetina, teofilina, piroxicam, diclofenac o, naproxeno, propranolol, metoprolol, ciclosporina, lidocaína, quinidina, estradiol, eritromicina e budesonida; durante o tratamento concomitante de omeprazol e claritomicina, foi observado aumento nas concentrações plasmáticas de ambas as substâncias, mas não houve interação com o metronidazol ou a amox icilina.",-1,-1.0,varfarina; ciclosporina; eritromicina; diazepam; anticoagulantes,15.0,1
palbociclibe,INTERAÇÕES  MEDICAMENTOSAS,"Deve -se evitar o uso concomitante de potentes inibidores da CYP3A incluindo, mas não limitado a: amprenavir, atazanavir, boceprevir, claritromicina, conivaptana, delavirdina, diltiazem, eritromicina, fosamprenavir, indinavir, itraconazol, cetoconazol, lopinavir, mibefradil, m iconazol, nefazodona, nelfinavir, posaconazol, ritonavir, saquinavir, telaprevir, telitromicina, voriconazol e toranja ou suco de toranja (grapefruit).",-1,-1.0,eritromicina; claritromicina; cetoconazol; itraconazol; diltiazem,15.0,2
palbociclibe,INTERAÇÕES  MEDICAMENTOSAS,"Deve -se evitar o uso concomitante de potentes inibidores da CYP3A incluindo, mas não limitado a: amprenavir, atazanavir, boceprevir, claritromicina, conivaptana, delavirdina, diltiazem, eritromicina, fosamprenavir, indinavir, itraconazol, cetoconazol, lopinavir, mibefradil, m iconazol, nefazodona, nelfinavir, posaconazol, ritonavir, saquinavir, telaprevir, telitromicina, voriconazol e toranja ou suco de toranja (grapefruit).",-1,-1.0,eritromicina; claritromicina; cetoconazol; itraconazol; diltiazem,15.0,2
lansoprazol claritromicina amoxicilina,INTERAÇÕES MEDICAMENTOSAS,"Não deixe de avisar seu médico caso você esteja tomando: − medicamentos usados no tratamento de gota (probenecida ou alopurinol); − outros antibióticos; − pílulas anticoncepcionais (como acontece com outros antibióticos, talvez sejam necessárias precauções adicionais para evitar a gravidez); − anticoagulantes ; - micofenolato de mofetila: LANSOPRAZOL + CLARITROMICINA + AMOXICILINA pode afetar o funcionamento do micofenolato de mofetila (um medicamento usado para evitar a rejeição de órgãos transplantados).",-1,-1.0,amoxicilina; alopurinol; probenecida; claritromicina; anticoagulantes,15.0,1
dapagliflozina propanodiol,INTERAÇÕES MEDICAMENTOSAS,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona , sitagliptina, glimepirida , hidroclorotiazida, bumetanida, valsartan a, sinvastatina , digoxina (um substrato da gp-P) ou varfarina (a varfarina é um substrato do CYP2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
losartana potássica,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Nos estudos clínicos de farmacocinética realizados com hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital, cetoconazol e eritromicina, não foram identificadas interações medicamentosas de importância clínica.",-1,-1.0,varfarina; eritromicina; digoxina; cetoconazol; fenobarbital,15.0,0
cloridrato de donepezila cloridrato de memantina,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
cloridrato de lercanidipino,INTERAÇÕES MEDICAMENTOSAS,"A coadministração do lercanidipino com inibidores do CYP3A4 deve ser evitada (por exemplo, o cetoconazol, itraconazol, ritonavir, eritromicina, troleandomicina, claritromicina) (vide “Contraindicações”). ciclosporina A ciclosporina e o lercanidipino não devem ser administrados juntamente (vide “Contraindicações”).",-1,-1.0,ciclosporina; eritromicina; claritromicina; cetoconazol; itraconazol,15.0,2
drosperinona etinilestradiol,INTERAÇÕES  MEDICAMENTOSAS,"Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos): Inibidores potentes e moderados do CYP3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, antibióticos macrolídeos (como por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja (grapefruit) podem aumentar as concentrações plasmáticas de estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
drosperinona etinilestradiol,INTERAÇÕES  MEDICAMENTOSAS,"Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos) : Inibidores potentes e moderados do CYP 3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, antibióticos macrolídeos (como por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja (grapefruit) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
drosperinona etinilestradiol,ADVERTÊNCIAS E PRECAUÇÕES,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos): inibidores potentes e moderados do CYP 3A4 como antifúngicos azólicos (como, por exemplo: itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (como, por exemplo: claritromicina, eritromicina), diltiazem e suco de toronja (grapefruit ) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
acebrofilina,INTERAÇÕES MEDICAMENTOSAS,"O uso concomitante de acebrofilina com antibióticos macrolídeos (eritromicina), algumas quinolonas como norfloxacino e ciprofloxacino , anti-histamínicos H2 (cimetidina, ranitidina, famotidina), alopurinol, diltiazem e ipriflavona , pode retardar a eliminação da teofilina, aumentando o risco de intoxicação pela mesma.",-1,-1.0,alopurinol; eritromicina; diltiazem; cimetidina; ranitidina,15.0,1
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
besilato de anlodipino,INTERAÇÕES MEDICAMENTOSAS,Estudos Especiais: Efeito do anlodipino sobre Outros A gentes atorvastatina: a coadministração de doses múltiplas de 10 mg de anlodipino e 80 mg de atorvastatina não resultou em mudança significante nos parâmetros farmacocinéticos no estado de equilíbrio ( steady -state) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alterou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino com varfarina não alterou o tempo de resposta de protrombina da varfarina. ciclosporina: nenhum estudo de interação medicamentosa foi conduzido com a ciclosporina e o anlodipino em voluntários saudáveis ou outras populações com exceção dos pacientes com transplante renal.,-1,-1.0,varfarina; ciclosporina; atorvastatina; digoxina; anlodipino,15.0,0
linagliptina,INTERAÇÕES MEDICAMENTOSAS,"A linagliptina não teve efeito clinicamente relevante sobre a farmacocinética da metformina, glibenclamida, sinvastatina, pioglitazona, varfarina, digoxina ou contraceptivos orais; fornecendo evidência in vivo de uma baixa propensão para causar interações medicamentosas com substratos das CYP3A4, CYP2C9, CYP2C8, glicoproteína -P e com transportadores catiônicos orgânicos (TCO).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; glibenclamida,15.0,0
valsartana,INTERAÇÕES MEDICAMENTOSAS,"Entre os fármacos com os quais se realizaram estudos clínicos incluem -se: cimetidina, varfarina, furosemida, digoxina, atenolol, indometacina, hidroclorotiazida, anlodipino e glibenclamida.",-1,-1.0,varfarina; digoxina; glibenclamida; hidroclorotiazida; furosemida,15.0,
cloridrato de moxifloxacino,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Para as seguintes substâncias foi comprovada a ausência de interação clinicamente relevante com cloridrato de moxifloxacino: atenolol, ranitidina, suplementos de cálcio, teofilina, ciclosporina, contraceptivos orais, glibenclamida, itraconazol, digoxina, morfina, probenecida.",-1,-1.0,probenecida; ciclosporina; digoxina; itraconazol; glibenclamida,15.0,0
valsartana besilato de anlodipino,INTERAÇÕES MEDICAMENTOSAS,"Em monoterapia, o anlodipino é seguramente administrado com diuréticos tiazídicos, betabloqueadores, inibidores da enzima conversora de angiotensina, nitratos de longa ação, nitroglicerinas sublinguais, digoxina, varfarina, atorvastatina, sildenafila, M aalox ® (hidróxido de alumínio gel, hidróxido de magnésio e simeticona), cimetidina, medicamentos anti -inflamatórios não- esteroidais, antibióticos e medicamentos hipoglicemiantes orais. valsartana Duplo bloqueio do Sistema Renina -Angiotensina (SRA) com BRAs, IECAs ou alisquireno: o uso concomitante de BRAs, incluindo valsartana, com outros medicamentos que agem no SRA é associado com o aumento da incidência de hipotensão, hipercalemia e alterações na função renal em comparação com à monoterapia.",-1,-1.0,varfarina; atorvastatina; digoxina; anlodipino; cimetidina,15.0,1
drospirenona etinilestradiol,INTERAÇÕES MEDICAMENTOSAS,"Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos): Inibidores potentes e moderados do CYP 3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (como por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja (grapefruit) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
drospirenona etinilestradiol,INTERAÇÕES  MEDICAMENTOSAS,"Essas alterações podem ser clinicamente relevantes em alguns casos. - Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos) Inibidores potentes e moderados do CYP 3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (como por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja (grapefruit) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
ibuprofeno,INTERAÇÕES MEDICAMENTOSAS,"O uso concomitante de qualquer AINE com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: ácido acetilsalicílico, paracetamol, colchicina, iodetos, medicamentos fotossensibilizantes, outros anti-inflamatórios não esteroides, corticosteroides, corticotrofina, uroquinase, hipoglicemiantes orais ou insulina, anti-hipertensivos e diuréticos, ácido valproico, plicamicina, sais de ouro, ciclosporina, lítio, probenecida, inibidores da ECA, agentes anticoagulantes ou trombolíticos, inibidores de agregação plaquetária, cardiotônicos digitálicos, digoxina e metotrexato.",-1,-1.0,probenecida; ciclosporina; paracetamol; digoxina; metotrexato,15.0,2
dicloridrato de hidroxizina,INTERAÇÕES MEDICAMENTOSAS,"Exemplos de medicamentos associad os ao prolongamento do intervalo QT e/ou Torsades de Pointes estão listados abaixo (mas não se limitam a apenas estes): - Antiarrítmicos classe IA (quinidina, procainamida, disopiramida); - Antiarrítmicos classe III (amiodarona, sotalol, bretílio); - Antiarrítmicos classe IC (flecainida, propafenona); - Antipsicóticos (clorpromazina, haloperidol, pimozida, droperidol, ziprasidona, risperidona, olanzapina); - Antidepressivos (fluoxetina, citalopram, venlafaxina, antidepressivos tricíclicos e tetracíclicos por exemplo amitriptilina, imipramina, maprotilina); - Opioides (metadona); - Antibióticos macrolídeos e análogos (eritromicina, claritromicina, azitromicina, tacrolim o); - Quinolonas (moxifloxacino, ciprofloxacino, levofloxacino); - pentamidina; - Antimaláricos (quinina, cloroquina); - Antifúngicos azólicos (cetoconazol, fluconazol, voriconazol); - domperidona; - Antagonistas dos receptores 5-HT 3 (ondansetrona); - trióxido de arsênio; - Inibidores da tirosin a quinase (vandetanibe, sunitinibe, nilotinibe); - vorinostat e (inibidor da histona deacetilase); - Agonista do receptor adrenérgico beta-2 (salmeterol, formoterol).",-1,-1.0,eritromicina; claritromicina; fluoxetina; cetoconazol; fluconazol,15.0,2
dapagliflozina,ADVERTÊNCIAS E PRECAUÇÕES,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona, sitagliptina, glimepirida, hidroclorotiazida, bumetan ida, valsartana, sinvastatina, digoxina (um substrato da gp-P) ou varfarina (a varfarina é um substrato do CYP2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
lamotrigina,ADVERTÊNCIAS E PRECAUÇÕES,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamotrigina Valproato carbamazepina fenitoína primidona fenobarbitona rifampicina lopinavir/ritonavir atazanavir/ritonavir* Associação de etinilestradiol/levonorgestrel* lítio bupropiona olanzapina oxcarbazepina felbamato gapabentina levetiracetam pregabalina topiramato zonisamida aripripazol lacosamida perampanel paracetamol * Para orientações de dosagem, ver Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais, adicionalmente para mulheres tomando contraceptivos orais ver também Advertências e Precauções – Contraceptivos hormonais.",-1,-1.0,paracetamol; carbamazepina; rifampicina; olanzapina; contraceptivos,15.0,1
cloridrato de venlafaxina,INTERAÇÕES MEDICAMENTOSAS,"Advertências e precauções . • Medicamentos com ação sobre o Sistema Nervoso Central (SNC) Modelo de bula – Profissional cloridrato de venlafaxina 37,5 mg & 75 mg O risco de uso de venlafaxina em combinação com outros fármacos que atuam no SNC (como por exemplo: analgésicos narcóticos (morfina e petidina); sedativos (levomepromazina); hipnóticos (fenobarbital, flurazepam e midazolam); psicotrópicos (haloperidol, clorpromazina, flufenazina, clordiazepóxido, diazepam, bromazepam e lorazepam); antiparkinsonianos (biperideno e levodopa com benzerazida); antiepiléticos (fenitoína e carbamazepina) não foi avaliado sistematicamente.",-1,-1.0,diazepam; carbamazepina; fenobarbital; morfina; haloperidol,15.0,
cloridrato de donepezila,ADVERTÊNCIAS E PRECAUÇÕES,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
telmisartana,INTERAÇÕES MEDICAMENTOSAS,"A coadministração de telmisartana não resultou em interações clinicamente significativas com digoxina, varfarina, hidroclorotiazida, glibenclamida, ibuprofeno , paracetamol , sinvastatina e a nlodipino.",-1,-1.0,varfarina; ibuprofeno; paracetamol; sinvastatina; digoxina,15.0,0
